﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4GUNkk48oD8ohSnhHOp9Bo","Rumba Marina","Chano Dominguez, Angá, Piraña, Mario Rossi","Acércate Más","1","8","235586","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:24:58Z"
"spotify:track:78xjHkTjL40U44T1ogbE6r","Bakonoba","Fatoumata Diawara","Fatou","1","3","195600","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:25:02Z"
"spotify:track:6h9bu7OtdjalzHUnP7v5vG","O Sen Sen Sen","Richard Bona","Tiki","1","7","282560","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:25:13Z"
"spotify:track:04KsMCb9PZE2S0AtUU8Jhb","April Showers","Proleter","Curses from Past Times EP","1","1","275751","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:27:55Z"
"spotify:track:1sUbrYb20WAdDd9AwoAlc2","Songe d'automne","The Rosenberg Trio","Roots","1","1","238200","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:33:35Z"
"spotify:track:3faBLNRsTISXIwkhaHYz84","Dramophone","Caravan Palace","Panic","1","8","204626","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:34:00Z"
"spotify:track:61oV1pDJOkSEJX4qWJeANh","Jolie coquine","Caravan Palace","Caravan Palace","1","4","226786","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:35:06Z"
"spotify:track:1D5XPcVDMZsYYKSLY2u1dA","Short Tales Of The Black Forest","Al Di Meola","Land Of The Midnight Sun","1","6","340466","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T15:47:10Z"
"spotify:track:6vCrIKOtZTR1UphdzUtRKD","Bebe","Hermeto Pascoal, Doug deVries, James Macauley","The Monash Sessions","1","1","590973","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T15:53:00Z"
"spotify:track:0YskOa9EvglK9wLQvtHtXD","One","Esperanza Spalding","Emily’s D+Evolution","1","5","195213","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:00:17Z"
"spotify:track:1f54pkRnXdPZ0vFjwauIwU","Forrozinho Brejeiro","Hermeto Pascoal","Hermeto Pascoal e Sua Visão Original do Forró","1","13","202266","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:04:12Z"
"spotify:track:1dzET7BBRv2apibgAwkLls","The Romantic Warrior - Instrumental","Return To Forever","Romantic Warrior","1","3","651733","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:06:17Z"
"spotify:track:6jdnKXCiAM18THZruhy2Xf","The Magician - Instrumental","Return To Forever","Romantic Warrior","1","5","328893","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:06:24Z"
"spotify:track:6Zhht3quCOkSMf5udNByva","Madre Mia","Omar Sosa, Marvin Sewell, Pedrito Martinez, John Santos","Eggūn","1","6","527428","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:09:57Z"
"spotify:track:6amHOYbcwnMvrjhZy2v5m0","Tatihou","Argentina Tango Orchestra","The Tantalizing Tangos Of Argentina","1","4","163693","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:13:18Z"
"spotify:track:12Dpq3HXztXGp5TWbMZwgA","Badder Weather (feat. Josephine Oniyama)","Matthew Halsall, The Gondwana Orchestra, Josephine Oniyama","Into Forever","1","4","252040","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:16:20Z"
"spotify:track:0aWMVrwxPNYkKmFthzmpRi","Blue in Green","Miles Davis","Kind Of Blue (Legacy Edition)","1","3","337733","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:38:58Z"
"spotify:track:4bzHExY25fLaKZmr0IuMn9","Something About You","Jimmy Greene","Flowers – Beautiful Life, Vol. 2","1","10","359908","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:43:19Z"
"spotify:track:5ciCKiLGTIgfHKV4MxjInt","Hajanga","Jacob Collier","In My Room","1","8","362996","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:56:16Z"
